MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow,Precipitation
8.0,24.3,NW,30.0,29,1015.0,23.6,Yes,18.7
14.0,26.9,ENE,39.0,36,1008.4,25.7,Yes,47.5
13.7,23.4,NW,85.0,69,1007.2,20.2,Yes,36.6
13.3,15.5,NW,54.0,56,1007.0,14.1,Yes,29.9
7.6,16.1,SSE,50.0,49,1018.5,15.4,No,7.8
6.2,16.9,SE,44.0,57,1021.7,14.8,No,7.8
6.1,18.2,SE,43.0,47,1022.2,17.3,No,2.9
8.3,17.0,E,41.0,57,1024.2,15.5,No,43.3
8.8,19.5,S,48.0,48,1022.7,18.9,Yes,30.1
8.4,22.8,E,31.0,32,1020.7,21.7,No,35.4
9.1,25.2,N,30.0,34,1021.1,24.0,No,1.0
8.5,27.3,E,41.0,35,1019.9,26.0,No,48.5
10.1,27.9,WNW,30.0,29,1017.1,27.1,No,41.6
12.1,30.9,NW,44.0,20,1013.1,30.7,No,10.6
10.1,31.2,NW,41.0,16,1013.7,30.4,No,9.1
12.4,32.1,E,46.0,22,1012.8,30.7,No,9.2
13.8,31.2,ESE,44.0,23,1009.8,29.8,Yes,15.2
11.7,30.0,S,52.0,26,1013.0,28.6,No,26.2
12.4,32.3,E,39.0,25,1013.3,31.2,No,21.6
15.6,33.4,NE,33.0,27,1013.7,32.0,No,14.6
15.3,33.4,WNW,59.0,26,1006.5,32.8,No,30.6
16.4,19.4,E,26.0,72,1008.9,18.3,Yes,7.0
12.8,18.5,ESE,28.0,79,1014.9,16.8,No,14.6
12.0,24.3,NNE,26.0,57,1019.2,22.8,No,18.3
15.4,28.4,ENE,33.0,31,1018.6,27.3,No,22.8
15.6,26.9,E,41.0,48,1016.5,25.1,No,39.3
13.3,22.2,ENE,39.0,55,1018.6,21.2,No,10.0
12.9,28.0,S,52.0,31,1014.8,26.7,No,25.7
15.1,24.3,SE,39.0,80,1017.1,19.7,No,29.6
13.6,24.1,NNW,30.0,49,1013.3,23.2,Yes,2.3
15.1,20.4,SSE,41.0,90,1014.1,16.3,Yes,30.4
11.6,26.3,NNE,41.0,46,1009.5,25.2,No,8.5
16.6,24.2,NW,50.0,60,1004.6,19.9,Yes,3.3
13.3,26.5,NW,50.0,40,1006.3,25.1,No,47.4
14.5,21.8,ENE,43.0,63,1015.3,20.5,No,48.3
16.3,26.8,ENE,39.0,54,1016.1,24.5,No,40.4
17.2,25.8,SW,41.0,74,1011.5,22.6,Yes,15.2
16.5,28.2,NE,39.0,42,1011.4,26.3,No,4.9
15.0,29.4,NW,43.0,24,1008.5,28.6,No,34.2
14.9,24.8,NNW,35.0,37,1010.4,22.9,No,22.0
11.8,18.5,ENE,35.0,63,1017.4,16.4,No,6.1
11.7,21.5,ENE,41.0,51,1019.6,19.4,No,24.8
9.6,20.3,SE,39.0,49,1019.3,19.2,No,1.7
8.9,27.1,E,35.0,37,1012.5,25.0,No,45.5
10.1,29.9,E,41.0,36,1010.2,29.1,Yes,12.9
15.5,21.1,S,31.0,86,1008.6,20.0,Yes,33.1
10.8,21.7,ESE,48.0,40,1016.8,20.8,No,15.6
7.5,20.9,ENE,39.0,43,1018.3,19.8,No,26.0
12.8,21.0,NE,22.0,54,1015.6,20.0,Yes,27.3
12.6,23.1,NNW,30.0,74,1014.1,20.4,Yes,9.2
14.8,29.5,N,41.0,48,1008.3,28.2,Yes,48.5
19.9,22.0,NNW,76.0,62,996.8,19.6,Yes,38.8
9.2,20.4,ENE,39.0,49,1009.1,18.8,No,47.0
12.4,24.4,NW,44.0,43,1009.7,22.5,Yes,44.7
11.3,21.7,E,41.0,52,1019.1,21.0,No,29.9
9.8,26.3,NNW,41.0,35,1018.0,23.9,No,46.1
14.3,26.7,NNW,65.0,64,1014.3,19.0,Yes,4.4
15.1,28.3,NNW,28.0,44,1013.4,27.4,No,9.8
14.4,31.6,NNW,30.0,30,1014.2,30.3,No,2.3
15.4,35.0,E,39.0,18,1015.0,34.3,No,16.3
13.8,33.5,NE,31.0,20,1015.6,32.2,No,19.4
13.6,34.2,NNE,35.0,20,1011.6,31.8,No,13.6
14.3,35.0,ESE,41.0,14,1008.7,33.6,No,41.4
15.9,23.4,ESE,50.0,55,1016.3,22.3,No,17.8
16.7,25.3,ESE,46.0,45,1013.0,23.9,No,14.0
12.1,27.5,NE,35.0,40,1007.4,26.8,No,27.1
14.3,34.1,ENE,39.0,34,1003.3,31.9,No,7.0
16.5,33.9,ENE,39.0,36,1009.5,31.3,No,40.1
16.5,30.3,E,46.0,44,1013.4,28.0,No,3.7
17.5,29.9,E,43.0,45,1015.9,27.9,No,49.3
14.7,34.2,NE,33.0,25,1013.3,32.2,No,38.6
17.5,35.8,SSE,57.0,24,1006.5,34.5,No,9.9
20.9,35.7,SW,50.0,28,1003.0,34.0,Yes,0.3
17.0,33.8,WNW,52.0,35,1001.8,31.8,No,40.8
16.0,22.8,E,50.0,57,1012.3,21.6,No,35.3
15.4,33.8,W,35.0,26,1009.0,31.7,No,36.5
17.9,33.2,N,59.0,62,1006.1,23.5,Yes,38.6
15.2,25.1,E,46.0,42,1015.0,23.9,No,3.7
15.1,20.4,ESE,39.0,55,1015.8,19.4,Yes,17.9
15.3,19.6,NE,33.0,88,1006.0,18.6,Yes,5.8
